SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
AME#06-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Cotton,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Levelers included to easily level and align your furniture, Power Center with Dual AC outlets and USB, Adjustable wood shelves for design flexibility, Wood Door, Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person.",,,18 in.,28 in.,24 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME06-COT-dim_2048x.jpg?v=1670255598,https://parker-house.com/cdn/shop/products/AME_06-COT_room_2048x.jpg?v=1659027202,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_578ff16f-7e1b-4ed6-9c1a-46e6493403d6_2048x.jpg?v=1670255598,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_8856db74-0a89-4529-8a6b-ea83638e7642_2048x.jpg?v=1670255598,https://parker-house.com/cdn/shop/products/AME_06-COT_detail_2048x.jpg?v=1659027202,,,,,,,,,,,"The ultimate addition to any chair or sofa, the Americana Modern Chairside Table adds style and function to a space. Crafted in a cotton white finish with contrasting wood-grain top, it features adjustable display shelves and a closed compartment for storage. Charging your devices has never been more convenient than with its power center featuring dual AC and USB outlets.","The ultimate addition to any chair or sofa, the Americana Modern Chairside Table adds style and function to a space. Crafted in a cotton white finish with contrasting wood-grain top, it features adjustable display shelves and a closed compartment for storage. Charging your devices has never been more convenient than with its power center featuring dual AC and USB outlets.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-06-cot
AME#01-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Cotton,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Storage drawer, Castered wheels, Fixed shelf, Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person., Hidden casters",,,48 in.,26 in.,18.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_01-COT_angle_room_2048x.jpg?v=1659110103,https://parker-house.com/cdn/shop/products/AME_01-COT_silo_2048x.jpg?v=1669227361,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_235d3628-8b2e-482a-828b-70da29091ebe_2048x.jpg?v=1670255135,https://parker-house.com/cdn/shop/products/AME01-COT-dim_2048x.jpg?v=1670255135,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_c3f95fd0-e847-4c94-bb35-b6d20125b5d0_2048x.jpg?v=1670255135,,,,,,,,,,,"Destined to be the heart of any conversation area, the Americana Modern Cocktail Table is a must-have. Crafted in a soft Cotton white finish, it features a contrasting wood-grain top in Weathered Natural. A lower open area is perfect for storage and display while a center drawer and crossbeam design touches give it endless appeal.","Destined to be the heart of any conversation area, the Americana Modern Cocktail Table is a must-have. Crafted in a soft Cotton white finish, it features a contrasting wood-grain top in Weathered Natural. A lower open area is perfect for storage and display while a center drawer and crossbeam design touches give it endless appeal.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-01-cot
AME#05-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Cotton,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Lift top, Dovetail joints at front and back, full-extension ball bearing glides, Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person., Hidden Casters",,,50 in.,30 in.,19 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_15096ad4-d6c2-4443-9d97-c7bfbbb4aacd_2048x.jpg?v=1670255559,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_a269f6a3-bf2b-4426-85b5-96eaa9ec661e_2048x.jpg?v=1670255559,https://parker-house.com/cdn/shop/products/AME_05-COT_angle_front_closed_room_55668f5d-f098-45ab-83d3-deceb5120f2d_2048x.jpg?v=1695756330,https://parker-house.com/cdn/shop/products/AME05-COT-dim_2048x.jpg?v=1670255559,https://parker-house.com/cdn/shop/products/AME_05-COT_open_silo_2048x.jpg?v=1659111780,https://parker-house.com/cdn/shop/products/AME_05-COT_closed_silo_2048x.jpg?v=1659111780,,,,,,,,,,Add style and functionality to your seating area with this innovative Cocktail Table with Lift Top from the Americana Modern Collection. The innovative lift top opens and extends to create a flexible surface for working or eating. Its clean lines and vintage-inspired styling are finished in a crisp white painted Cotton finish accented with a contrasting wood-tone top in Weathered Natural. Multiple storage drawers offer a place for everything and make it easy to contain clutter.,Add style and functionality to your seating area with this innovative Cocktail Table with Lift Top from the Americana Modern Collection. The innovative lift top opens and extends to create a flexible surface for working or eating. Its clean lines and vintage-inspired styling are finished in a crisp white painted Cotton finish accented with a contrasting wood-tone top in Weathered Natural. Multiple storage drawers offer a place for everything and make it easy to contain clutter.,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-05-cot
AME#02-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Cotton,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Updated trestle base provides display room below the table top., The functional drawer is mounted on ball bearing glides making it easy to use., Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person.",,,24 in.,28 in.,24.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME02-COT-dim_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/files/AME_02-COT_room_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_ff87f548-c128-41b1-a8d2-f980439bcae5_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_af3b8a28-969a-4721-8eae-884e9aabe2a5_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/products/AME_02-COT_silo_2048x.jpg?v=1695757995,,,,,,,,,,,The Americana Modern End Table is where fun meets function. Its classic design character is highlighted in a soft Cotton white finish and features a contrasting wood-grain top in Weathered Natural. The open area below is perfect for storage while its center drawer and crossbeam silhouette create a stunning visual.,The Americana Modern End Table is where fun meets function. Its classic design character is highlighted in a soft Cotton white finish and features a contrasting wood-grain top in Weathered Natural. The open area below is perfect for storage while its center drawer and crossbeam silhouette create a stunning visual.,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-02-cot
AME#09-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Cotton,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Levelers included to easily level and align your furniture, Power Center with Dual AC outlet and dual USB",,,72 in.,21 in.,36 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_09-COT_back_silo_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_58a2aed2-c8f8-4705-a1ab-604eca3a131e_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_b4aeca65-8b9e-497c-a02c-f325bee17c75_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/products/AME09-COT-dim_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/files/AME_09-COT_back_room_2048x.jpg?v=1695758159,,,,,,,,,,,"Perfect for any room in the home, the Everywhere Console Table from the Americana Modern collection adds style and functionality. Place it behind a sofa or in a nook to create a flexible casual dining area. Its crisp white painted Cotton finish is accented with a contrasting wood-tone top in Weathered Natural. A multifunctional Power Center with dual AC outlet and dual USB port makes it an ideal location for working from home or surfing the web.","Perfect for any room in the home, the Everywhere Console Table from the Americana Modern collection adds style and functionality. Place it behind a sofa or in a nook to create a flexible casual dining area. Its crisp white painted Cotton finish is accented with a contrasting wood-tone top in Weathered Natural. A multifunctional Power Center with dual AC outlet and dual USB port makes it an ideal location for working from home or surfing the web.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-09-cot
AME#09-4-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Cotton,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Levelers included to easily level and align your furniture, Power Center with Dual AC outlet and dual USB",,,72 in.,21 in.,36 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_09-4-COT_back_silo_2048x.jpg?v=1659110449,https://parker-house.com/cdn/shop/products/AME09-4_63_01-COT_MREE-IND_life_room_2048x.jpg?v=1659110343,https://parker-house.com/cdn/shop/products/AME_09-4-COT_front_room_2048x.jpg?v=1695756420,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_4bf2e35d-f208-413f-a824-12cf46b87880_2048x.jpg?v=1659110449,https://parker-house.com/cdn/shop/products/AME_09-4-COT_lifestyle_2048x.jpg?v=1659110343,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_8e20fda8-24b2-4068-8fe1-892ce274da84_2048x.jpg?v=1659110449,https://parker-house.com/cdn/shop/products/AME_09-4-COT_front_silo_2048x.jpg?v=1659110449,,,,,,,,,"Destined to be the new hub of your home, the Everywhere Console with 2 Stools, from the Americana Modern collection combines style and functionality. Place it behind a sofa or in a nook to create a flexible casual dining area. Its crisp white painted Cotton finish is accented with a contrasting wood-tone top in Weathered Natural. A multifunctional Power Center with dual AC outlet and dual USB port makes it an ideal location for working from home or surfing the web. Two coordinating backless stools in Cotton complete its casually elegant look.","Destined to be the new hub of your home, the Everywhere Console with 2 Stools, from the Americana Modern collection combines style and functionality. Place it behind a sofa or in a nook to create a flexible casual dining area. Its crisp white painted Cotton finish is accented with a contrasting wood-tone top in Weathered Natural. A multifunctional Power Center with dual AC outlet and dual USB port makes it an ideal location for working from home or surfing the web. Two coordinating backless stools in Cotton complete its casually elegant look.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-09-4-cot
AME#06-DEN,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Denim,,,Poplar Solids / Birch Veneers,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Sable wood top, Levelers included to easily level and align your furniture, Power Center with Dual AC outlets and USB, Adjustable wood shelves for design flexibility, Wood Door, Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person.",,,18 in.,28 in.,24 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME06-DEN-dim_2048x.jpg?v=1670255640,https://parker-house.com/cdn/shop/products/AME_06-DEN_room_486ed872-97ac-4e6f-b249-d3de23bf932b_2048x.jpg?v=1692721641,https://parker-house.com/cdn/shop/products/AME_06-DEN_silo_2048x.jpg?v=1639838529,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_bfe67395-7429-4052-b3ab-eceeb2f052d0_2048x.jpg?v=1670255640,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_2cd3c1d3-1c5c-4ca8-a8a0-9b799fcbeed8_2048x.jpg?v=1670255640,,,,,,,,,,,"The ultimate addition to any chair or sofa, the Americana Modern Chairside Table adds style and function to a space. Crafted in a denim finish with contrasting wood-grain top, it features adjustable display shelves and a closed compartment for storage. Charging your devices has never been more convenient than with its power center featuring dual AC and USB outlets.","The ultimate addition to any chair or sofa, the Americana Modern Chairside Table adds style and function to a space. Crafted in a denim finish with contrasting wood-grain top, it features adjustable display shelves and a closed compartment for storage. Charging your devices has never been more convenient than with its power center featuring dual AC and USB outlets.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-06-den
AME#01-DEN,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Denim,,,Poplar Solids / Birch Veneers,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Sable wood top, Storage drawer, Castered wheels, Fixed shelf, Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person., Hidden casters",,,48 in.,26 in.,18.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_01_DEN_angle_silo_2048x.jpg?v=1639838484,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_2048x.jpg?v=1670255272,https://parker-house.com/cdn/shop/products/AME01-DEN-dim_2048x.jpg?v=1670255272,https://parker-house.com/cdn/shop/products/AME_01-DEN_angle_room_2048x.jpg?v=1639838484,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_2048x.jpg?v=1670255272,,,,,,,,,,,"Destined to be the heart of any conversation area, the Americana Modern Cocktail Table is a must-have. Crafted in a denim finish, it features a contrasting wood-grain top in Sable. A lower open area is perfect for storage and display while a center drawer and crossbeam design touches give it endless appeal.","Destined to be the heart of any conversation area, the Americana Modern Cocktail Table is a must-have. Crafted in a denim finish, it features a contrasting wood-grain top in Sable. A lower open area is perfect for storage and display while a center drawer and crossbeam design touches give it endless appeal.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-01-den
AME#02-DEN,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Denim,,,Poplar Solids / Birch Veneers,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Sable wood top, Updated trestle base provides display room below the table top., The functional drawer is mounted on ball bearing glides making it easy to use., Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person.",,,24 in.,28 in.,24.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_6ab7562b-e839-4cb6-9cc4-cd21d1216e7e_2048x.jpg?v=1670255470,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_8c5fbe30-6d46-42e5-a2bb-8f119201fa4e_2048x.jpg?v=1670255470,https://parker-house.com/cdn/shop/products/AME_02-DEN_silo_2048x.jpg?v=1669229658,https://parker-house.com/cdn/shop/products/AME_02-DEN_angle_room_2048x.jpg?v=1639838502,https://parker-house.com/cdn/shop/products/AME02-DEN-dim_2048x.jpg?v=1670255470,,,,,,,,,,,The Americana Modern End Table is where fun meets function. Its classic design character is highlighted in a denim finish and features a contrasting wood-grain top in Sable. The open area below is perfect for storage while its center drawer and crossbeam silhouette create a stunning visual.,The Americana Modern End Table is where fun meets function. Its classic design character is highlighted in a denim finish and features a contrasting wood-grain top in Sable. The open area below is perfect for storage while its center drawer and crossbeam silhouette create a stunning visual.,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-02-den
AME#06-DOV,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,Dove,,,Poplar Solids / Birch Veneers with Oak Top,,,,,,,,,,,,,,,,,,"Custom Painted Finish with contrasting Weathered Natural wood top, Levelers included to easily level and align your furniture, Power Center with Dual AC outlets and USB, Adjustable wood shelves for design flexibility, Wood Door, Each piece of Parker House furniture is unique and features slightly different colorations. Finish colors vary depending on the screen used for viewing. The best way to ensure your furniture matches your expectations is to see it (or a swatch) in person.",,,18 in.,28 in.,24 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_06-DOV_room_2048x.jpg?v=1669240277,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_89d1853c-476b-4a35-863c-529bdbc1a5b5_2048x.jpg?v=1670255669,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_dc13b8b5-7b40-4ed3-8baa-a772eb091d7d_2048x.jpg?v=1670255669,https://parker-house.com/cdn/shop/products/AME_06-DOV_silo_2048x.jpg?v=1669240294,https://parker-house.com/cdn/shop/products/AME06-DOV-dim_2048x.jpg?v=1670255669,,,,,,,,,,,"The ultimate addition to any chair or sofa, the Americana Modern Chairside Table adds style and function to a space. Crafted in a dove grey finish with contrasting wood-grain top, it features adjustable display shelves and a closed compartment for storage. Charging your devices has never been more convenient than with its power center featuring dual AC and USB outlets.","The ultimate addition to any chair or sofa, the Americana Modern Chairside Table adds style and function to a space. Crafted in a dove grey finish with contrasting wood-grain top, it features adjustable display shelves and a closed compartment for storage. Charging your devices has never been more convenient than with its power center featuring dual AC and USB outlets.",,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-06-dov
